"name","region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt"
"Normal_001",3.0,0.0,1.0,0.0,3.0,252.67,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0
"Normal_002",65.0,0.01,4.0,4.5,71.0,242.5,3.0,1.09,0.15,4.26,17.29,3.41,0.07,0.2,6.59,43.92,1.0,0.06,0.05,3.72,11.98,1.0,0.95,0.02,-2.73,5.64,1.0,1.0,0.0,-7.88,60.02
"Normal_003",1.0,0.0,3.0,3.27,1.0,255.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-4.02,14.17,1.0,1.0,0.0,0.0,-3.0
"Normal_004",51.0,0.01,5.0,4.13,52.0,244.39,2.0,1.02,0.02,6.93,46.02,0.0,0.0,0.0,0.0,-3.0,1.0,0.02,0.02,6.93,46.02,1.0,0.94,0.03,-2.29,3.33,1.0,1.0,0.0,0.0,-3.0
"Normal_005",62.0,0.01,4.0,3.4,65.0,243.03,2.0,1.05,0.05,4.21,15.72,0.0,0.0,0.0,0.0,-3.0,1.0,0.05,0.05,4.21,15.72,1.0,0.95,0.02,-2.77,6.04,1.0,1.0,0.0,0.0,-3.0
"Normal_006",56.0,0.02,8.0,6.46,62.0,241.08,3.0,1.11,0.13,3.59,12.92,1.21,0.02,0.03,7.28,51.02,1.0,0.09,0.08,2.88,6.3,1.0,0.88,0.05,-1.4,0.15,1.0,1.0,0.0,0.0,-3.0
"Normal_007",82.0,0.01,5.0,6.36,84.0,242.67,2.0,1.02,0.02,6.17,36.03,0.0,0.0,0.0,0.0,-3.0,1.0,0.02,0.02,6.17,36.03,1.0,0.94,0.02,-2.54,4.63,1.0,1.0,0.0,0.0,-3.0
"Normal_008",2.0,0.0,1.0,0.0,2.0,249.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0
"Normal_010",74.0,0.01,7.0,7.21,77.0,241.65,2.0,1.04,0.04,4.66,19.71,0.0,0.0,0.0,0.0,-3.0,1.0,0.04,0.04,4.66,19.71,1.0,0.94,0.03,-2.53,4.59,1.0,1.0,0.0,0.0,-3.0
"Normal_011",5.0,0.0,3.0,3.27,7.0,245.0,3.0,1.4,0.64,1.5,0.25,1.0,0.2,0.16,1.5,0.25,1.0,0.2,0.16,1.5,0.25,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0
"Normal_012",105.0,0.01,6.0,3.83,110.0,242.27,2.0,1.05,0.05,4.25,16.05,0.0,0.0,0.0,0.0,-3.0,1.0,0.05,0.05,4.25,16.05,1.0,0.94,0.03,-2.53,4.61,1.0,1.0,0.0,0.0,-3.0
"Normal_013",1.0,0.0,1.0,0.0,1.0,255.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0
"Normal_014",1.0,0.0,3.0,2.31,1.0,255.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,-9.27,84.01,1.0,1.0,0.0,0.0,-3.0
"Normal_015",147.0,0.01,6.0,5.38,151.0,242.29,2.0,1.03,0.03,5.81,31.78,0.0,0.0,0.0,0.0,-3.0,1.0,0.03,0.03,5.81,31.78,1.0,0.95,0.02,-2.89,6.59,1.0,1.0,0.0,0.0,-3.0
"Normal_016",13.0,0.01,4.0,5.5,14.0,242.85,2.0,1.08,0.07,3.18,8.08,0.0,0.0,0.0,0.0,-3.0,1.0,0.08,0.07,3.18,8.08,1.0,0.94,0.03,-2.59,5.09,1.0,1.0,0.0,0.0,-3.0
"Normal_017",1.0,0.0,1.0,0.0,1.0,255.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0
"Normal_018",2.0,0.0,3.0,2.31,2.0,245.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.99,0.0,-6.9,48.19,1.0,1.0,0.0,0.0,-3.0
"Normal_019",7.0,0.01,4.0,4.83,7.0,235.43,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.03,-2.87,6.81,1.0,1.0,0.0,0.0,-3.0
"Normal_020",30.0,0.02,7.0,5.9,32.0,241.42,2.0,1.07,0.06,3.47,10.07,0.0,0.0,0.0,0.0,-3.0,1.0,0.07,0.06,3.47,10.07,1.0,0.92,0.03,-1.93,1.99,1.0,1.0,0.0,0.0,-3.0
"Normal_021",20.0,0.01,4.0,5.5,20.0,244.45,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.93,0.03,-2.29,3.51,1.0,1.0,0.0,0.0,-3.0
"Normal_022",6.0,0.0,9.0,7.14,15.0,248.87,9.0,2.5,8.58,1.73,1.08,8.41,1.4,9.83,1.79,1.2,1.0,0.33,0.22,0.71,-1.5,1.0,0.95,0.03,-3.02,7.09,1.0,0.97,0.0,-1.79,1.2
"Normal_023",90.0,0.02,19.0,8.2,97.0,242.28,4.0,1.08,0.14,6.05,40.98,2.83,0.03,0.09,9.33,85.01,1.0,0.05,0.05,3.89,13.15,1.0,0.89,0.05,-1.47,0.48,1.0,1.0,0.0,-9.33,85.01
"Normal_024",2.0,0.0,2.0,2.83,3.0,245.75,2.0,1.5,0.25,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.5,0.25,0.0,-2.0,1.0,0.99,0.01,-6.29,37.52,1.0,1.0,0.0,0.0,-3.0
